input1,input2,input3,input4,input5,input6,output,usable
550.0,0.0,0.0,0.1,0.1,1.0,-2.8312191143428427,True
551.0,1.0,0.1,1.0,9.99,0.1,0.06410065537753247,True
552.0,0.0,0.1,0.1,0.1,0.1,-4.4084263515125315,True
553.0,0.1,0.1,1.0,1.0,1.0,0.2622759611788638,True
554.0,0.1,0.5,0.0,0.0,0.0,-5.887776796194029,True
555.0,0.01,1.0,0.1,1.0,1.0,0.24305750719197644,True
556.0,9.99,0.5,9.99,1.0,0.5,0.07735740801928465,True
557.0,1.0,1.0,0.01,1.0,1.0,0.16173777925533833,True
558.0,0.1,0.1,1.0,0.1,1.0,-2.6781383442325613,True
559.0,0.1,0.1,1.0,1.0,0.1,-0.05448235377860133,True
560.0,0.0,0.0,0.1,0.1,0.1,-2.740246704291779,True
561.0,1.0,0.1,1.0,9.99,1.0,0.4439437890816016,True
562.0,0.01,1.0,0.1,0.1,0.1,-2.2781604643235522,True
563.0,1.0,1.0,0.01,1.0,0.1,0.03184420023743023,True
564.0,0.1,0.1,1.0,0.1,0.1,-2.3705479415905897,True
565.0,1.0,0.01,1.0,0.01,1.0,-6.337632425736427,True
566.0,9.99,1.0,0.1,0.1,0.5,0.06174425583903209,False
567.0,0.01,0.1,0.01,0.0,0.0,-8.546465041332912,True
568.0,0.1,0.5,0.1,0.1,1.0,0.04126111352364429,False
569.0,9.99,0.1,9.99,0.0,0.0,0.19794364558975755,True
570.0,0.01,1.0,0.1,0.1,1.0,-4.419374719122469,True
571.0,0.0,0.0,0.0,0.01,0.1,-8.356533828265718,True
572.0,0.01,1.0,0.0,0.01,0.1,-9.042801109573496,True
573.0,9.99,1.0,9.99,1.0,0.1,0.04842018031301512,True
574.0,1.0,0.01,0.1,1.0,1.0,0.18915888632074188,True
575.0,0.1,0.5,0.01,0.1,1.0,-2.628128709940013,True
576.0,9.99,0.5,0.1,9.99,0.5,0.11517113410216195,True
577.0,9.99,1.0,9.99,0.1,0.1,-0.03569557841605242,False
578.0,1.0,0.5,1.0,0.01,0.5,0.6486993325282651,True
579.0,1.0,0.1,1.0,0.0,0.1,1.1012390183672025,True
580.0,9.99,0.1,0.01,0.01,0.1,-0.14042548964228338,True
581.0,0.01,0.1,9.99,0.01,0.1,-6.565214847734396,True
582.0,0.01,1.0,1.0,0.01,1.0,-0.10333416015468508,False
583.0,0.1,1.0,0.1,1.0,0.5,0.09386305172085965,True
584.0,0.1,1.0,0.1,0.1,0.5,0.11523008366631315,True
585.0,5.0,0.1,1.0,0.0,0.1,1.0394526363500352,True
586.0,0.0,0.0,0.0,0.01,0.5,-8.719309230448832,True
587.0,1.0,0.1,1.0,1.0,0.01,0.06821398885705637,True
588.0,9.99,0.1,5.0,0.0,0.0,-0.3742214085363118,True
589.0,0.01,1.0,0.0,0.01,0.5,-8.018962048754855,True
590.0,0.1,1.0,0.1,9.99,1.0,0.1908488942744479,True
591.0,1.0,1.0,0.1,9.99,0.5,0.2636942764991683,True
592.0,0.1,0.5,0.01,0.1,1.0,-4.344807156792108,True
593.0,0.1,0.5,9.99,0.1,0.5,0.004911797288206593,False
594.0,0.01,1.0,1.0,0.01,0.1,0.1369203968168496,False
595.0,0.01,0.01,0.01,1.0,1.0,0.21877657374233606,True
596.0,0.01,0.1,9.99,0.01,1.0,-6.423596045335126,True
597.0,0.1,1.0,0.1,9.99,0.1,0.014705885461168022,True
